Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Takano, W; Nakamura, Y",,,IEEE,"Takano, Wataru; Nakamura, Yoshihiko",,,Motion synthesis from stochastically encoded motion primitives for anthropomorphic robotic arm,2014 11TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS AND AMBIENT INTELLIGENCE (URAI),International Conference on Ubiquitous Robots and Ambient Intelligence,,,,11th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),"NOV 12-15, 2014","Kuala Lumpur, MALAYSIA","Korean Robot Soc,Univ Kuala Lumpur,Korea Inst Sci & Technol,Ctr Human Centered Intecat Coexistence,IEEE,Robot Soc Japan,Robot Soc India,Robot Soc Taiwan,CIMTME,Korea Inst Robot Ind Advancement,Korea Assoc Robot Ind",,,,,,,,,"Nakamura, Yoshihiko/M-1019-2014","Nakamura, Yoshihiko/0000-0001-7162-5102",,,,,,,,,,,,,2325-033X,,978-1-4799-5333-2,,,,2014,,,,,,,356,358,,,,,,,,,,,,,,,,WOS:000383742100088,View Full Record in Web of Science
C,"Rakovic, M; Borvac, B; Santos-Victor, J; Batinica, A; Nikolic, M; Savic, S",,"Asfour, T; Billard, A; Harada, K; Kulic, D; Ude, A; Venture, G; Yamane, K; Yokoi, K; Yoshida, E",,"Rakovic, Mirko; Borvac, Branislav; Santos-Victor, Jose; Batinica, Aleksandar; Nikolic, Milutin; Savic, Srdan",,,Biped Walking and Stairs Climbing using Reconfigurable Adaptive Motion Primitives,2016 IEEE-RAS 16TH INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS (HUMANOIDS),IEEE-RAS International Conference on Humanoid Robots,,,,16th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"NOV 15-17, 2016","Mexican Assoc Comp Vis Robot & Neural Comp, Cancun, MEXICO","IEEE Robot & Automat Soc,Disney Res,ROBOTIS,INTEL,PAL,MACVNR,CONACYT,CINVESTAV",Mexican Assoc Comp Vis Robot & Neural Comp,,,,,,,,"Savić, Srđan/J-5809-2017; Rakovic, Mirko/U-5860-2017; Santos-Victor, Jose/K-2093-2012","Rakovic, Mirko/0000-0002-8818-2739; Santos-Victor, Jose/0000-0002-9036-1728; Savic, Srdan/0000-0003-1385-2854",,,,,,,,,,,,,2164-0572,,978-1-5090-4718-5,,,,2016,,,,,,,57,62,,,,,,,,,,,,,,,,WOS:000403009300009,View Full Record in Web of Science
C,"Chao, PD; Han, CR; Fan, XJ; Yang, Z",,,IEEE,"Chao, Peidong; Han, Chirui; Fan, Xinjian; Yang, Zhan",,,DMP Based Nanomanipulation Robot Trajectory Learning and Planning for Nanowire/tube Assembly,2022 INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS AND MECHATRONICS (ICARM 2022),,,,,7th IEEE International Conference on Advanced Robotics and Mechatronics,"JUL 09-11, 2022","Guilin, PEOPLES R CHINA","Guangxi Univ,Foshan Univ,So Univ Sci & Technol,IEEE Robot & Automat Soc,IEEE Syst Man & Cybernet Soc,IEEE RAS Tech Comm Neuro Robot Syst,IEEE SMC Tech Comm Bio Mechatron & Bio Robot Syst,Chinese Assoc Automat, Tech Comm Robot Intelligence,Beijing Inst Technol Press,MDPI, Machines,Springer,MDPI, Actuators,Gaitech Robot,Beijing Nokov Sci & Technol Co Ltd",,,,,,,,,"Fan, Xinjian/JUF-4635-2023",,,,,,,,,,,,,,,,978-1-6654-8306-3,,,,2022,,,,,,,331,336,,10.1109/ICARM54641.2022.9959531,http://dx.doi.org/10.1109/ICARM54641.2022.9959531,,,,,,,,,,,,,WOS:000926398000055,View Full Record in Web of Science
J,"Manschitz, S; Gienger, M; Kober, J; Peters, J",,,,"Manschitz, Simon; Gienger, Michael; Kober, Jens; Peters, Jan",,,Mixture of Attractors: A Novel Movement Primitive Representation for Learning Motor Skills From Demonstrations,IEEE ROBOTICS AND AUTOMATION LETTERS,,,,,,,,,,,,,,,,,"Peters, Jan/D-5068-2009; Kober, Jens/I-9119-2017","Peters, Jan/0000-0002-5266-8091; Kober, Jens/0000-0001-7257-5434",,,,,,,,,,,,,2377-3766,,,,,APR,2018,3,2,,,,,926,933,,10.1109/LRA.2018.2792531,http://dx.doi.org/10.1109/LRA.2018.2792531,,,,,,,,,,,,,WOS:000424646100011,View Full Record in Web of Science
C,"Silvério, J; Huang, YL; Abu-Dakka, FJ; Rozo, L; Caldwell, DG",,,IEEE,"Silverio, Joao; Huang, Yanlong; Abu-Dakka, Fares J.; Rozo, Leonel; Caldwell, Darwin G.",,,Uncertainty-Aware Imitation Learning using Kernelized Movement Primitives,2019 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"NOV 04-08, 2019","Macau, PEOPLES R CHINA","IEEE,RSJ",,,,,,,,,"AbuDakka, Fares/M-2085-2019; Rozo, Leonel/HTP-2045-2023; Caldwell, Darwin/E-9954-2018; Abu-Dakka, Fares J./M-4099-2014","Abu-Dakka, Fares J./0000-0001-9062-9416",,,,,,,,,,,,,2153-0858,,978-1-7281-4004-9,,,,2019,,,,,,,90,97,,10.1109/iros40897.2019.8967996,http://dx.doi.org/10.1109/iros40897.2019.8967996,,,,,,,,,,,,,WOS:000544658400009,View Full Record in Web of Science
J,"Barekatain, A; Habibi, H; Voos, H",,,,"Barekatain, Alireza; Habibi, Hamed; Voos, Holger",,,DFL-TORO: A One-Shot Demonstration Framework for Learning Time-Optimal Robotic Manufacturing Tasks,IEEE ACCESS,,,,,,,,,,,,,,,,,"Habibi, Hamed/E-8925-2017","Habibi, Hamed/0000-0002-7393-6235; Voos, Holger/0000-0002-9600-8386",,,,,,,,,,,,,2169-3536,,,,,,2024,12,,,,,,161164,161184,,10.1109/ACCESS.2024.3486615,http://dx.doi.org/10.1109/ACCESS.2024.3486615,,,,,,,,,,,,,WOS:001349774300001,View Full Record in Web of Science
C,"Straizys, A; Burke, M; Ramamoorthy, S",,,IEEE,"Straizys, Arturas; Burke, Michael; Ramamoorthy, Subramanian",,,Learning robotic cutting from demonstration: Non-holonomic DMPs using the Udwadia-Kalaba method,"2023 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, ICRA",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 29-JUN 02, 2023","London, ENGLAND","IEEE,IEEE Robot & Automat Soc",,,,,,,,,"Burke, Michael/AAI-8023-2020",,,,,,,,,,,,,,1050-4729,2577-087X,979-8-3503-2365-8,,,,2023,,,,,,,5034,5040,,10.1109/ICRA48891.2023.10160917,http://dx.doi.org/10.1109/ICRA48891.2023.10160917,,,,,,,,,,,,,WOS:001036713004002,View Full Record in Web of Science
C,"Nemec, B; Gams, A; Ude, A",,,IEEE,"Nemec, Bojan; Gams, Andrej; Ude, Ales",,,Velocity adaptation for self-improvement of skills learned from user demonstrations,2013 13TH IEEE-RAS INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS (HUMANOIDS),IEEE-RAS International Conference on Humanoid Robots,,,,13th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"OCT 15-17, 2013","Atlanta, GA",IEEE RAS,,,,,,,,,"Ude, Aleš/ABB-7839-2020",,,,,,,,,,,,,,2164-0572,,978-1-4799-2619-0,,,,2013,,,,,,,423,428,,,,,,,,,,,,,,,,WOS:000396584300063,View Full Record in Web of Science
J,"Savic, SZ; Rakovic, MM; Borovac, BA; Nikolic, MN",,,,"Savic, Srdjan Z.; Rakovic, Mirko M.; Borovac, Branislav A.; Nikolic, Milutin N.",,,HYBRID MOTION CONTROL OF HUMANOID ROBOT FOR LEADER-FOLLOWER CO-OPERATIVE TASKS,THERMAL SCIENCE,,,,,PSU-UNS International Conferences on Engineering and Technology (ICET),"JUN 19-20, 2015",THAILAND,"Prince Songkla Univ,Univ Novi Sad",,,,,,,,,"Savic, Stevan/AAD-5748-2020; Rakovic, Mirko/U-5860-2017","Savic, Srdan/0000-0003-1385-2854; Rakovic, Mirko/0000-0002-8818-2739",,,,,,,,,,,,,0354-9836,2334-7163,,,,,2016,20,,,2,SI,,S549,S561,,10.2298/TSCI151005037S,http://dx.doi.org/10.2298/TSCI151005037S,,,,,,,,,,,,,WOS:000381952700019,View Full Record in Web of Science
C,"Scherzinger, S; Becker, P; Roennau, A; Dillmann, R",,,IEEE,"Scherzinger, Stefan; Becker, Pascal; Roennau, Arne; Dillmann, Rüdiger",,,Motion Macro Programming on Assistive Robotic Manipulators: Three Skill Types for Everyday Tasks,"2023 20TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS, UR",,,,,20th International Conference on Ubiquitous Robots (UR),"JUN 25-28, 2023","Honolulu, HI",,,,,,,,,,,"Becker, Pascal/0000-0003-0482-8377",,,,,,,,,,,,,,,979-8-3503-3517-0,,,,2023,,,,,,,792,799,,10.1109/UR57808.2023.10202357,http://dx.doi.org/10.1109/UR57808.2023.10202357,,,,,,,,,,,,,WOS:001051003700095,View Full Record in Web of Science
