Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Tiberkak, A; Hentout, A; Belkhir, A",,,,"Tiberkak, Allal; Hentout, Abdelfetah; Belkhir, Abdelkader",,,WebRTC-based MOSR remote control of mobile manipulators,INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS,,,,,,,,,,,,,,,,,,"Hentout, Abdelfetah/0000-0003-3851-7745",,,,,,,,,,,,,2366-5971,2366-598X,,,,JUN,2023,7,2,,,,,304,320,,10.1007/s41315-023-00281-3,http://dx.doi.org/10.1007/s41315-023-00281-3,,APR 2023,,,,,,37266512,,,,,WOS:000975961500001,View Full Record in Web of Science
J,"Cieliebak, M; Flocchini, P; Prencipe, G; Santoro, N",,,,"Cieliebak, Mark; Flocchini, Paola; Prencipe, Giuseppe; Santoro, Nicola",,,DISTRIBUTED COMPUTING BY MOBILE ROBOTS: GATHERING,SIAM JOURNAL ON COMPUTING,,,,,,,,,,,,,,,,,"Prencipe, Giuseppe/KBD-0090-2024; Santoro, Nicola/AAG-9555-2020","Cieliebak, Mark/0009-0007-3059-8516; Santoro, Nicola/0000-0002-7954-3918; PRENCIPE, GIUSEPPE/0000-0001-5646-7388",,,,,,,,,,,,,0097-5397,1095-7111,,,,,2012,41,4,,,,,829,879,,10.1137/100796534,http://dx.doi.org/10.1137/100796534,,,,,,,,,,,,,WOS:000309999400006,View Full Record in Web of Science
C,"Uchibe, E; Doya, K",,,IEEE,"Uchibe, Eiji; Doya, Kenji",,,Combining learned controllers to achieve new goals based on linearly solvable MDPs,2014 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 07, 2014","Hong Kong, PEOPLES R CHINA",IEEE,,,,,,,,,"Uchibe, Eiji/B-5860-2015",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-4799-3685-4,,,,2014,,,,,,,5252,5259,,,,,,,,,,,,,,,,WOS:000377221105045,View Full Record in Web of Science
J,"Zheng, DS; Yan, J; Xue, T; Liu, Y",,,,"Zheng, Deshuai; Yan, Jin; Xue, Tao; Liu, Yong",,,A knowledge-based task planning approach for robot multi-task manipulation,COMPLEX & INTELLIGENT SYSTEMS,,,,,,,,,,,,,,,,,,"Liu, Yong/0000-0003-4098-2339",,,,,,,,,,,,,2199-4536,2198-6053,,,,FEB,2024,10,1,,,,,193,206,,10.1007/s40747-023-01155-8,http://dx.doi.org/10.1007/s40747-023-01155-8,,JUL 2023,,,,,,,,,,,WOS:001032700000003,View Full Record in Web of Science
J,"Suddrey, G; Lehnert, C; Eich, M; Maire, F; Roberts, J",,,,"Suddrey, Gavin; Lehnert, Christopher; Eich, Markus; Maire, Frederic; Roberts, Jonathan",,,Teaching Robots Generalizable Hierarchical Tasks Through Natural Language Instruction,IEEE ROBOTICS AND AUTOMATION LETTERS,,,,,,,,,,,,,,,,,,"lehnert, chris/0000-0002-4230-8068",,,,,,,,,,,,,2377-3766,,,,,JAN,2017,2,1,,,,,201,208,,10.1109/LRA.2016.2588584,http://dx.doi.org/10.1109/LRA.2016.2588584,,,,,,,,,,,,,WOS:000413732300028,View Full Record in Web of Science
C,"Pek, C; Muxfeldt, A; Kubus, D",,,IEEE,"Pek, Christian; Muxfeldt, Arne; Kubus, Daniel",,,Simplifying Synchronization in Cooperative Robot Tasks - An Enhancement of the Manipulation Primitive Paradigm,2016 IEEE 21ST INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA),IEEE International Conference on Emerging Technologies and Factory Automation-ETFA,,,,21st IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),"SEP 06-09, 2016","OWL Univ Appl Sci, Fraunhofer IOSB INA, Berlin, GERMANY","IEEE,IES,OWL Univ Appl Sci, Inst Ind Informat Technologies","OWL Univ Appl Sci, Fraunhofer IOSB INA",,,,,,,,"Pek, Christian/S-2502-2016",,,,,,,,,,,,,,1946-0740,,978-1-5090-1314-2,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,WOS:000389524200059,View Full Record in Web of Science
C,"Gadre, SY; Rosen, E; Chien, G; Phillips, E; Tellex, S; Konidaris, G",,"Howard, A; Althoefer, K; Arai, F; Arrichiello, F; Caputo, B; Castellanos, J; Hauser, K; Isler, V; Kim, J; Liu, H; Oh, P; Santos, V; Scaramuzza, D; Ude, A; Voyles, R; Yamane, K; Okamura, A",IEEE,"Gadre, Samir Yitzhak; Rosen, Eric; Chien, Gary; Phillips, Elizabeth; Tellex, Stefanie; Konidaris, George",,,End-User Robot Programming Using Mixed Reality,2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 20-24, 2019","Montreal, CANADA","Bosch,DJI,Kinova,Mercedes Benz,Samsung,Argo AI,Clearpath Robot,Element AI,Fetch Robot,Huawei,iRobot,KUKA,Quanser,SICK,Toyota Res Inst,Uber,Waymo,Zhejiang Lab,Amazon,Applanix,Cloudminds,Honda Res Inst,MathWorks,Ouster",,,,,,,,,,"Tellex, Stefanie/0000-0002-2905-4075",,,,,,,,,,,,,1050-4729,2577-087X,978-1-5386-6026-3,,,,2019,,,,,,,2707,2713,,10.1109/icra.2019.8793988,http://dx.doi.org/10.1109/icra.2019.8793988,,,,,,,,,,,,,WOS:000494942302006,View Full Record in Web of Science
C,"Flocchini, P; Prencipe, G; Santoro, N; Viglietta, G",,"Aguilera, MK; Querzoni, L; Shapiro, M",,"Flocchini, Paola; Prencipe, Giuseppe; Santoro, Nicola; Viglietta, Giovanni",,,Distributed Computing by Mobile Robots: Solving the Uniform Circle Formation Problem,"PRINCIPLES OF DISTRIBUTED SYSTEMS, OPODIS 2014",Lecture Notes in Computer Science,,,,18th International Conference on Principles of Distributed Systems (OPODIS),"DEC 16-19, 2014","Cortina d Ampezzo, ITALY",,,,,,,,,,"Santoro, Nicola/AAG-9555-2020; Prencipe, Giuseppe/KBD-0090-2024","Santoro, Nicola/0000-0002-7954-3918; PRENCIPE, GIUSEPPE/0000-0001-5646-7388",,,,,,,,,,,,,0302-9743,1611-3349,978-3-319-14472-6; 978-3-319-14471-9,,,,2014,8878,,,,,,217,232,,,,,,,,,,,,,,,,WOS:000354774800015,View Full Record in Web of Science
J,"Flocchini, P; Prencipe, G; Santoro, N; Viglietta, G",,,,"Flocchini, Paola; Prencipe, Giuseppe; Santoro, Nicola; Viglietta, Giovanni",,,Distributed computing by mobile robots: uniform circle formation,DISTRIBUTED COMPUTING,,,,,,,,,,,,,,,,,"Prencipe, Giuseppe/KBD-0090-2024; Santoro, Nicola/AAG-9555-2020","Santoro, Nicola/0000-0002-7954-3918; PRENCIPE, GIUSEPPE/0000-0001-5646-7388",,,,,,,,,,,,,0178-2770,1432-0452,,,,DEC,2017,30,6,,,,,413,457,,10.1007/s00446-016-0291-x,http://dx.doi.org/10.1007/s00446-016-0291-x,,,,,,,,,,,,,WOS:000412451400002,View Full Record in Web of Science
C,"Morrow, JD; Khosla, PK",,,IEEE,"Morrow, JD; Khosla, PK",,,Manipulation task primitives for composing robot skills,"1997 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION - PROCEEDINGS, VOLS 1-4",IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION,,,,1997 IEEE International Conference on Robotics and Automation (ICRA97) - Teaming to Make an Impact,"APR 20-25, 1997","ALBUQUERQUE, NM","IEEE, Robot & Automat Soc",,,,,,,,,,,,,,,,,,,,,,,1050-4729,,0-7803-3613-5,,,,1997,,,,,,,3354,3359,,,,,,,,,,,,,,,,WOS:A1997BJ42X00533,View Full Record in Web of Science
