Title,Year,DOI
AN ACTION GENERATION MODEL BY USING TIME SERIES PREDICTION AND ITS APPLICATION TO ROBOT NAVIGATION,2009,10.1142/S0129065709001872
Neuroethological concepts and their transfer to walking machines,2003,10.1177/0278364903022003002
Adapting Preshaped Grasping Movements Using Vision Descriptors,2010,
"Bio-inspired vertebral column, compliance and semi-passive dynamics in a lightweight humanoid robot",2011,
Peg-in-Hole assembly under uncertain pose estimation,2014,
Using Reward-Weighted Imitation for Robot Reinforcement Learning,2009,
Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,2022,10.1109/LRA.2022.3150024
Voxel Robot: A Pneumatic Robot with Deformable Morphology,2014,
Autonomously Constructing Hierarchical Task Networks for Planning and Human-Robot Collaboration,2016,
Bimanual rope manipulation skill synthesis through context dependent correction policy learning from human demonstration,2023,10.1109/ICRA48891.2023.10160895
Learning Manipulation Graphs from Demonstrations Using Multimodal Sensory Signals,2018,
Real-time smoothness-based assistance during rhythmic arm movements,2016,
Evidence of a Clock Determining Human Locomotion,2018,
A Probabilistic Approach to Robot Trajectory Generation,2013,
Autonomous SLAM based humanoid navigation in a cluttered environment while transporting a heavy load,2018,10.1016/j.robot.2017.10.001
A unified scheme for the benchmarking of upper limb functions in neurological disorders,2022,10.1186/s12984-022-01082-8
A Flexible Hybrid Framework for Modeling Complex Manipulation Tasks,2011,
Calibration Method to Improve Transfer from Simulation to Quadruped Robots,2018,10.1007/978-3-319-97628-0_9
CONTROL OF QUADRUPED WALKING ROBOTS USING MOTOR PRIMITIVES,2016,
Efficient sensorimotor learning from multiple demonstrations,2013,10.1080/01691864.2013.814211
Dynamic Gait Transition of a Humanoid Robot from Hand-Knee Crawling to Bipedal Walking based on Kinematic Primitives,2019,10.1109/arso46408.2019.8948746
Catch & Carry: Reusable Neural Controllers for Vision-Guided Whole-Body Tasks,2020,10.1145/3386569.3392474
MODULATION OF DYNAMIC MOVEMENT PRIMITIVES FOR BIPED LOCOMOTION,2016,
Reinforcement learning in MirrorBot,2005,
High-Level Learning from Demonstration with Conceptual Spaces and Subspace Clustering,2015,
Realtime Tracking and Grasping of a Moving Object from Range Video,2014,
Rhythmic arm movements are less affected than discrete ones after a stroke,2016,10.1007/s00221-015-4543-y
Action recognition and understanding through motor primitives,2007,10.1163/156855307782506156
Learning programs is better than learning dynamics: A programmable neural network hierarchical architecture in a multi-task scenario,2016,10.1177/1059712315609412
Robot learning human stiffness regulation for hybrid manufacture,2018,10.1108/AA-02-2018-019
Representation of Distributed Haptic Feedback Given via Vibro-tactile Actuator Arrays,2018,
Self-discovery of motor primitives and learning grasp affordances,2012,
Rhythmic robotic training enhances motor skills of both rhythmic and discrete upper-limb movements after stroke: a longitudinal pilot study,2019,10.1097/MRR.0000000000000325
Synthesizing movements for computer game characters,2004,
Embodied robots driven by self-organized environmental feedback,2019,10.1177/1059712319855622
"Towards a Platform-Independent Cooperative Human-Robot Interaction System: II. Perception, Execution and Imitation of Goal Directed Actions",2011,
Modeling and recognition of actions through motor primitives,2008,10.1109/ROBOT.2008.4543446
Generalization-Based Acquisition of Training Data for Motor Primitive Learning by Neural Networks,2021,10.3390/app11031013
Autonomous learning of the semantics of internal sensory states based on motor exploration,2007,10.1142/S0219843607001102
Robust Learning from Demonstrations using Multidimensional SAX,2014,
Generalizing Movement Primitives to New Situations,2017,10.1007/978-3-319-64107-2_2
An action generation model using time series prediction,2007,10.1109/IJCNN.2007.4371025
Active Learning of Affordances for Robot Use of Household Objects,2014,
Learning Manipulation by Sequencing Motor Primitives with a Two-Armed Robot,2016,10.1007/978-3-319-08338-4_115
Transferring Generalizable Motor Primitives From Simulation to Real World,2019,10.1109/LRA.2019.2900768
"Generalization of motor resonance during the observation of hand, mouth, and eye movements",2015,10.1152/jn.00433.2015
Deep Probabilistic Movement Primitives with a Bayesian Aggregator,2023,10.1109/IROS55552.2023.10342441
Human-Robot Synchrony: Flexible Assistance Using Adaptive Oscillators,2011,10.1109/TBME.2010.2089629
COMPLEX ORDER BIPED RHYTHMS,2011,10.1142/S0218127411030362
SLIM: Skill Learning with Multiple Critics,2024,10.1109/ICRA57147.2024.10610691
Representing delayed force feedback as a combination of current and delayed states,2017,10.1152/jn.00347.2017
Oscillator-based Walking Assistance: a Model-free Approach,2011,
Deriving action and Behavior primitives from human motion data,2002,
Sparse-code Muscle Representation for Human Walking,2010,
"Modularity, evolution, and the binding problem: a view from stability theory",2001,10.1016/S0893-6080(00)00089-7
Self-organized Attractoring in Locomoting Animals and Robots: An Emerging Field,2024,10.1007/978-3-031-72359-9_24
Generalization of Orientational Motion in Unit Quaternion Space,2016,
A Kernel-based Approach to Direct Action Perception,2012,
One-shot Visual Imitation via Attributed Waypoints and Demonstration Augmentation,2023,10.1109/ICRA48891.2023.10160944
Goal-directed imitation for robots: A bio-inspired approach to action understanding and skill learning,2006,10.1016/j.robot.2006.01.004
Learning by Demonstration with Baxter Humanoid,2019,10.1007/978-3-030-01054-6_54
Simulating the Emergence of Early Physical and Social Interactions : A Developmental Route through Low Level Visuomotor Learning,2014,
Learning Robot Tactile Sensing for Object Manipulation,2014,
Reinforcement Learning vs Human Programming in Tetherball Robot Games,2015,
GTI: Learning to Generalize Across Long-Horizon Tasks from Human Demonstrations,2020,
Mental models for cognitive control,2007,10.1117/12.721968
"Motor System's Role in Grounding, Receptive Field Development, and Shape Recognition",2008,10.1109/DEVLRN.2008.4640807
Age-Related Modifications of Muscle Synergies and Spinal Cord Activity During Locomotion,2010,10.1152/jn.00525.2009
A New CPG Model for the Generation of Modular Trajectories for Hexapod Robots,2011,10.1063/1.3636775
Efficient policy search in low-dimensional embedding spaces by generalizing motion primitives with a parameterized skill memory,2015,10.1007/s10514-014-9417-9
MimicPlay: Long-Horizon Imitation Learning by Watching Human Play,2023,
Working hard to make a simple definition of synergies Comment on: Hand synergies: Integration of robotics and neuroscience for understanding the control of biological and artificial hands by Marco Santello et al,2016,10.1016/j.plrev.2016.05.015
Developing Learnability - the Case for Reduced Dimensionality,2013,
Online sensorimotor learning and adaptation for inverse dynamics control,2021,10.1016/j.neunet.2021.06.029
Neurobiological and neurorobotic approaches to control architectures for a humanoid motor system,2001,10.1016/S0921-8890(01)00159-2
Probabilistic model-based imitation learning,2013,10.1177/1059712313491614
A neural network model. for coordination of hand gesture during reach to grasp,2006,10.1016/j.neunet.2005.07.014
A novel movement-based operation method for dual-arm rescue construction machinery,2016,10.1017/S0263574714002082
Movement Templates for Learning of Hitting and Batting,2010,10.1109/ROBOT.2010.5509672
Adaptation of Robot Locomotion Patterns with Dynamic Movement Primitives,2015,10.1109/ICARSC.2015.9
Speeding Up Incremental Learning Using Data Efficient Guided Exploration,2018,
Reinforcement learning for improving imitated in-contact skills,2016,
An Approach to Hierarchical Deep Reinforcement Learning for a Decentralized Walking Control Architecture,2019,10.1007/978-3-319-99316-4_36
A control system for a flexible spine belly-dancing humanoid,2006,10.1162/106454606775186464
Automated derivation of primitives for movement classification,2002,10.1023/A:1013254724861
A Comparison of Dynamical Perceptual-Motor Primitives and Deep Reinforcement Learning for Human-Artificial Agent Training Systems,2022,10.1177/15553434221092930
Action recognition and understanding using motor primitives,2007,
A Dual Interaction Perspective for Robot Cognition: Grasping as a Rosetta Stone,2007,
Modular Active Curiosity-Driven Discovery of Tool Use,2016,
Dynamic Primitives Facilitate Manipulating a Whip,2020,
How Many Muscles? Optimal Muscles Set Search for Optimizing Myocontrol Performance,2021,10.3389/fncom.2021.668579
Humanoid robot imitation through continuous goal-directed actions: an evolutionary approach,2015,10.1080/01691864.2014.964314
Motor control insights on walking planner and its stability,2023,10.1088/2631-8695/accb27
Performance-based robotic assistance during rhythmic arm exercises,2016,10.1186/s12984-016-0189-7
Decomposing spontaneous sign language into elementary movements: A principal component analysis-based approach,2021,10.1371/journal.pone.0259464
Interactive human pose and action recognition using dynamical motion primitives,2007,10.1142/S0219843607001060
Geometrical Invariance and Smoothness Maximization for Task-Space Movement Generation,2016,10.1109/TRO.2016.2581208
SynergyAnalyzer: A Matlab toolbox implementing mixed-matrix factorization to identify kinematic-muscular synergies,2024,10.1016/j.cmpb.2024.108217
Walking Assistance Using Artificial Primitives A Novel Bioinspired Framework Using Motor Primitives for Locomotion Assistance Through a Wearable Cooperative Exoskeleton,2016,10.1109/MRA.2015.2510778
Model Selection for Incremental Learning of Generalizable Movement Primitives,2017,
Generalization in Adaptation to Stable and Unstable Dynamics,2012,10.1371/journal.pone.0045075
Muscle synergies in neuroscience and robotics: from input-space to task-space perspectives,2013,10.3389/fncom.2013.00043
Integration of robotics and neuroscience beyond the hand: What kind of synergies? Comment on Hand synergies: Integration of robotics and neuroscience for understanding the control of biological and artificial hands by Marco Santello et al,2016,10.1016/j.plrev.2016.04.001
Editorial: Modularity in motor control: from muscle synergies to cognitive action representation,2015,10.3389/fncom.2015.00126
A modular neural model of motor synergies,2012,10.1016/j.neunet.2012.02.003
The neuromechanics of animal locomotion: From biology to robotics and back,2023,10.1126/scirobotics.adg0279
Optimality and Modularity in Human Movement: From Optimal Control to Muscle Synergies,2019,10.1007/978-3-319-93870-7_6
Characterization and Categorization of Various Human Lower Limb Movements Based on Kinematic Synergies,2022,10.3389/fbioe.2021.793746
Bioinspired Gain-Modulated Recurrent Neural Network for Controlling Musculoskeletal Robot,2021,10.1109/TNNLS.2021.3071196
Decentralized control and local information for robust and adaptive decentralized Deep Reinforcement Learning,2021,10.1016/j.neunet.2021.09.017
Computational approaches to motor learning by imitation,2003,10.1098/rstb.2002.1258
Towards Grasping with Spiking Neural Networks for Anthropomorphic Robot Hands,2017,10.1007/978-3-319-68600-4_6
A unifying model of concurrent spatial and temporal modularity in muscle activity,2014,10.1152/jn.00245.2013
Quantitative evaluation of muscle synergy models: a single-trial task decoding approach,2013,10.3389/fncom.2013.00008
Modular Control of Human Movement During Running: An Open Access Data Set,2018,10.3389/fphys.2018.01509
Bayesian Approaches for Learning of Primitive-Based Compact Representations of Complex Human Activities,2016,10.1007/978-3-319-25739-6_6
Learning Actions from observations Primitive-Based Modeling and Grammar,2010,10.1109/MRA.2010.936961
Task space exploration improves adaptation after incompatible virtual surgeries,2022,10.1152/jn.00356.2021
Human arm redundancy: a new approach for the inverse kinematics problem,2024,10.1098/rsos.231036
A computational approach on the co-development of artificial visual sensorimotor,2013,10.1177/1059712313492176
