Title,Year,DOI
MIT-skywalker: A novel environment for neural gait rehabilitation,2014,10.1109/biorob.2014.6913856
A new CPG model for the generation of modular trajectories for hexapod robots,2011,10.1063/1.3636775
A modular approach for trajectory generation in biped robots,2011,10.1063/1.3636773
Sparse-code muscle representation for human walking,2010,10.1109/BIOROB.2010.5627988
Introduction,2014,10.1007/978-3-319-03194-1_1
"12th International Symposium on Experimental Robotics, ISER 2010",2014,
Learning to select and generalize striking movements in robot table tennis,2012,
Learning anticipatory motor control,2012,10.1109/DevLrn.2012.6400850
Reinforcement learning to adjust parametrized motor primitives to new situations,2012,10.1007/s10514-012-9290-3
Grasping with vision descriptors and motor primitives,2010,
Adapting preshaped grasping movements using vision descriptors,2010,10.1007/978-3-642-15193-4_15
Synthesising a motor-primitive inspired control architecture for redundant compliant robots,2012,10.1007/978-3-642-33093-3_10
Learning motor primitives for robotics,2009,10.1109/ROBOT.2009.5152577
Introduction,2014,10.1007/978-3-319-03194-1_1
Active learning of inverse models with intrinsically motivated goal exploration in robots,2013,10.1016/j.robot.2012.05.008
The organization of cortex-ganglia-thalamus to generate movements from motor primitives: A model for developmental robotics,2015,
Brain-inspired motion programming for hobby-use humanoid robots,2013,10.1109/SNPD.2013.37
"Towards a platform-independent cooperative human-robot interaction system: II. Perception, execution and imitation of goal directed actions",2011,10.1109/IROS.2011.6048351
A novel approach to locomotion learning: Actor-critic architecture using central pattern generators and dynamic motor primitives,2014,10.3389/fnbot.2014.00023
A flexible hybrid framework for modeling complex manipulation tasks,2011,10.1109/ICRA.2011.5980237
Realtime tracking and grasping of a moving object from range video,2014,10.1109/ICRA.2014.6907234
Movement templates for learning of hitting and batting,2010,10.1109/ROBOT.2010.5509672
New developments on online generation of trajectories in quadruped robots,2012,
Policy search for motor primitives in robotics,2011,10.1007/s10994-010-5223-6
Motor primitive generation framework for NAOs in ubiquitous applications,2014,10.1007/978-3-642-41671-2_19
Grounding abstract action words through the hierarchical organization of motor primitives,2013,10.1109/DevLrn.2013.6652543
An action generation model by using time series prediction and its application to robot navigation,2009,10.1142/S0129065709001872
Compact models of motor primitive variations for predictable reaching and obstacle avoidance,2009,10.1109/ICHR.2009.5379551
Learning multiple behaviors from unlabeled demonstrations in a latent controller space,2013,
