Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wang, XA; Chen, JH; Wu, W",,,,"Wang, Xiaona; Chen, Jiahao; Wu, Wei",,,Motion Learning for Musculoskeletal Robots Based on Cortex-Inspired Motor Primitives and Modulation,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,,,,,,,,,,,,,,,,,"Chen, Jiahao/KPA-0985-2024","Chen, Jiahao/0000-0003-0044-8887",,,,,,,,,,,,,2379-8920,2379-8939,,,,APR,2024,16,2,,,,,744,756,,10.1109/TCDS.2023.3293097,http://dx.doi.org/10.1109/TCDS.2023.3293097,,,,,,,,,,,,,WOS:001197861000013,View Full Record in Web of Science
J,"Zhong, SL; Wu, YX; Wu, W; Qiao, H",,,,"Zhong, Shanlin; Wu, Yaxiong; Wu, Wei; Qiao, Hong",,,Controlling Musculoskeletal System with Spinal Cord-Inspired Constraint Force Field Primitives,UNMANNED SYSTEMS,,,,,,,,,,,,,,,,,,"Wu, Yaxiong/0000-0001-5340-1922",,,,,,,,,,,,,2301-3850,2301-3869,,,,MAR,2024,12,2,,,,,293,304,,10.1142/S2301385024410115,http://dx.doi.org/10.1142/S2301385024410115,,JAN 2024,,,,,,,,,,,WOS:001153998600001,View Full Record in Web of Science
J,"Sung, Y; Jeong, HY; Cho, K; Um, K",,,,"Sung, Yunsick; Jeong, Hwa-Young; Cho, Kyungeun; Um, Kyhyun",,,Robot Service Framework Based on Big Data Technology,JOURNAL OF INTERNET TECHNOLOGY,,,,,,,,,,,,,,,,,,"Jeong, Hwa-Young/0000-0002-5017-934X",,,,,,,,,,,,,1607-9264,2079-4029,,,,JUL,2014,15,4,,,,,593,603,,10.6138/JIT.2014.15.4.09,http://dx.doi.org/10.6138/JIT.2014.15.4.09,,,,,,,,,,,,,WOS:000340983100010,View Full Record in Web of Science
J,"Vahdat, S; Maghsoudi, A; Hasani, MH; Towhidkhah, F; Gharibzadeh, S; Jahed, M",,,,"Vahdat, Shahaboddin; Maghsoudi, Arash; Hasani, Mojtaba Haji; Towhidkhah, Farzad; Gharibzadeh, Shahriar; Jahed, Mehran",,,Adjustable primitive pattern generator: A novel cerebellar model for reaching movements,NEUROSCIENCE LETTERS,,,,,,,,,,,,,,,,,"Maghsoudi, Arash/P-9098-2019; Towhidkhah, Farzad/M-3911-2018; Jahed, Mehran/AGY-3811-2022","Towhidkhah, Farzad/0000-0003-3135-9609; gharibzadeh, shahriar/0000-0002-9604-8433",,,,,,,,,,,,,0304-3940,1872-7972,,,,OCT 9,2006,406,3,,,,,232,234,,10.1016/j.neulet.2006.07.038,http://dx.doi.org/10.1016/j.neulet.2006.07.038,,,,,,,,16930835,,,,,WOS:000240998700016,View Full Record in Web of Science
C,"Garate, VR; Parri, A; Yang, T; Munih, M; Lova, RM; Vitiello, N; Ronsse, R",,,IEEE,"Garate, Virginia Ruiz; Parri, Andrea; Yang, Tingfang; Munih, Marko; Lova, Raffaele Molino; Vitiello, Nicola; Ronsse, Renaud",,,Motor primitive-based control for lower-limb exoskeletons,2016 6TH IEEE INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS (BIOROB),Proceedings of the IEEE RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,6th IEEE International Conference on Biomedical Robotics and Biomechatronics (BioRob),"JUN 26-29, 2016",SINGAPORE,IEEE,,,,,,,,,"Ruiz Garate, Virginia/HPD-3207-2023; Vitiello, Nicola/B-8960-2009","Munih, Marko/0000-0001-5289-4059; Ruiz Garate, Virginia/0000-0003-4445-5253; PARRI, Andrea/0000-0001-8121-7655",,,,,,,,,,,,,2155-1782,,978-1-5090-3287-7,,,,2016,,,,,,,655,661,,,,,,,,,,,,,,,,WOS:000392266900111,View Full Record in Web of Science
J,"Zhong, SL; Wu, W",,,,"Zhong, Shanlin; Wu, Wei",,,Motion Learning and Generalization of Musculoskeletal Robot Using Gain Primitives,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,,,"zhong, shan/HZJ-4647-2023",,,,,,,,,,,,,,1545-5955,1558-3783,,,,APR,2024,21,2,,,,,1580,1591,,10.1109/TASE.2023.3249228,http://dx.doi.org/10.1109/TASE.2023.3249228,,MAR 2023,,,,,,,,,,,WOS:000943537800001,View Full Record in Web of Science
C,"Kroemer, O; Detry, R; Piater, J; Peters, J",,"Filipe, J; Cetto, JA; Ferrier, JL",,"Kroemer, Oliver; Detry, Renaud; Piater, Justus; Peters, Jan",,,GRASPING WITH VISION DESCRIPTORS AND MOTOR PRIMITIVES,"ICINCO 2010: PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS, VOL 2",,,,,"7th International Conference on Informatics in Control, Automation and Robotics","JUN 15-18, 2010","Funchal, PORTUGAL","Inst Syst & Technol Informat Control & Commun,Int Fed Automat Control",,,,,,,,,"Peters, Jan/D-5068-2009","Peters, Jan/0000-0002-5266-8091",,,,,,,,,,,,,,,978-989-8425-01-0,,,,2010,,,,,,,47,54,,,,,,,,,,,,,,,,WOS:000393353400012,View Full Record in Web of Science
C,"Franchi, AM; Sernicola, L; Gini, G",,"Tuci, E; Giagkos, A; Wilson, M; Hallam, J",,"Franchi, Alessio Mauro; Sernicola, Lorenzo; Gini, Giuseppina",,,Linguistic Primitives: A New Model for Language Development in Robotics,From Animals to Animats 14,Lecture Notes in Computer Science,,,,14th International Conference on the Simulation of Adaptive Behavior (SAB),"AUG 23-26, 2016","Aberystwyth Univ, Aberystwyth, WALES","Aberystwyth Univ, Dept Comp Sci,Int Soc Adapt Behavior,Webots",Aberystwyth Univ,,,,,,,,"Gini, Giuseppina/G-9266-2011",,,,,,,,,,,,,,0302-9743,,978-3-319-43488-9; 978-3-319-43487-2,,,,2016,9825,,,,,,207,218,,10.1007/978-3-319-43488-9_19,http://dx.doi.org/10.1007/978-3-319-43488-9_19,,,,,,,,,,,,,WOS:000389342300019,View Full Record in Web of Science
C,"Laloyaux, H; Ronsse, R",,,IEEE,"Laloyaux, Henri; Ronsse, Renaud",,,Extraction of simple monophasic motor primitives towards bio-inspired locomotion assistance,2019 IEEE INTERNATIONAL CONFERENCE ON CYBORG AND BIONIC SYSTEMS (CBS),,,,,IEEE International Conference on Cyborg and Bionic Systems (CBS),"SEP 19-20, 2019","Munich, GERMANY",IEEE,,,,,,,,,"Laloyaux, Henri/KLC-3708-2024","Laloyaux, Henri/0000-0002-0166-9537",,,,,,,,,,,,,,,978-1-7281-5073-4,,,,2019,,,,,,,253,260,,10.1109/cbs46900.2019.9114458,http://dx.doi.org/10.1109/cbs46900.2019.9114458,,,,,,,,,,,,,WOS:000610036600043,View Full Record in Web of Science
C,"Moreno, R; Gomez, J",,,IEEE,"Moreno, Rodrigo; Gomez, Jonatan",,,Central Pattern Generators and Hormone Inspired Messages: A Hybrid Control Strategy to Implement Motor Primitives on Chain Type Modular Reconfigurable Robots,2011 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 09-13, 2011","Shanghai, PEOPLES R CHINA","IEEE,Robot & Automat Soc,Minist Educ China,Minist Sci & Technol China,Natl Nat Sci Fdn China,Sci & Technol Commiss Shanghai Municipal,Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat,Huazhong Univ Sci & Technol, State Key Lab Digital Mfg Equipment & Technol,Harbin Inst Technol, State Key Lab Robot & Syst,Zhejiang Univ, Inst Cyber-Syst & Control,Chinese Acad Sci, Shenyang Inst Automat,Beihang Univ, Robotics Inst,Beijing Res Inst Automat Machinery Ind,Tianjin Univ, Sch Mech Engn,ABB,YASKAWA Elect,KUKA,Willow Garage,Googol Tech.,Adept Mobile Robots,Harbin Boshi Automat,Natl Instruments,Beijing Universal Pioneering Technol,Real-Time Control & Instrumentat Lab, GE Global Res,ALDEBARAN Robot,Int Federat Robot (IFR),Shanghai Jiao Tong Univ",,,,,,,,,,"Moreno, Rodrigo/0000-0003-3738-010X",,,,,,,,,,,,,1050-4729,2577-087X,978-1-61284-385-8,,,,2011,,,,,,,1014,1019,,,,,,,,,,,,,,,,WOS:000324383400028,View Full Record in Web of Science
