Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Spangenberg, M; Henrich, D",,,IEEE,"Spangenberg, Michael; Henrich, Dominik",,,Grounding of actions based on verbalized physical effects and manipulation primitives,2015 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"SEP 28-OCT 02, 2015","Hamburg, GERMANY","IEEE,RSJ,Univ Hamburg,DFG,RA,New Technol Fdn,SICE,KUKA,DJI,Rethink Robot,BOSCH,Chinese Acad Sci, SIAT,Boozhong,Adept,Automatica,HIT,Ascending Technol,OPTOFORCE,DST Robot,BA Syst,Rainbow Robot,SIA,CLEARPATH Robot,Swiss Natl Ctr Competence Res Robot,SINEVA,Dyson,SICK,Robocept,Force Dimension,Open Unit Robot,Luoyang Natl Univ Sci Park,Fuzhou Univ,Synapticon,Google,Technishce Univ Munchen,iRobot,Echord++,Khalifa Univ,Pan Robot,FESTO,Kinova Robot,SCHUNK,ies",,,,,,,,,,,,,,,,,,,,,,,2153-0858,,978-1-4799-9994-1,,,,2015,,,,,,,844,851,,,,,,,,,,,,,,,,WOS:000371885401001,View Full Record in Web of Science
J,"Gold, T; Völz, A; Graichen, K",,,,"Gold, Tobias; Voelz, Andreas; Graichen, Knut",,,Model Predictive Interaction Control for Robotic Manipulation Tasks,IEEE TRANSACTIONS ON ROBOTICS,,,,,,,,,,,,,,,,,,"Graichen, Knut/0000-0003-2865-8093; Gold, Toias/0000-0001-9049-3360",,,,,,,,,,,,,1552-3098,1941-0468,,,,FEB,2023,39,1,,,,,76,89,,10.1109/TRO.2022.3196607,http://dx.doi.org/10.1109/TRO.2022.3196607,,AUG 2022,,,,,,,,,,,WOS:000846423200001,View Full Record in Web of Science
C,"Zhou, C; Gao, WT; Lu, WF; Long, YB; Yang, SC; Zhao, LF; Huang, BD; Zheng, Y",,,IEEE,"Zhou, Cheng; Gao, Wentao; Lu, Weifeng; Long, Yanbo; Yang, Sicheng; Zhao, Longfei; Huang, Bidan; Zheng, Yu",,,A Unified Trajectory Generation Algorithm for Dynamic Dexterous Manipulation,2023 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 01-05, 2023","Detroit, MI","IEEE,RSJ",,,,,,,,,,"Zhao, Longfei/0000-0001-6119-3924",,,,,,,,,,,,,2153-0858,,978-1-6654-9190-7,,,,2023,,,,,,,8712,8719,,10.1109/IROS55552.2023.10342095,http://dx.doi.org/10.1109/IROS55552.2023.10342095,,,,,,,,,,,,,WOS:001136907802121,View Full Record in Web of Science
C,"Felip, J; Bernabé, J; Morales, A",,,IEEE,"Felip, Javier; Bernabe, Jose; Morales, Antonio",,,Contact-based blind grasping of unknown objects,2012 12TH IEEE-RAS INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS (HUMANOIDS),IEEE-RAS International Conference on Humanoid Robots,,,,12th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"NOV 29-DEC 01, 2012","Osaka, JAPAN",IEEE RAS,,,,,,,,,"Leon, Javier/AAF-4688-2020; Morales, Antonio/C-4793-2012","Morales, Antonio/0000-0002-8478-0854",,,,,,,,,,,,,2164-0572,,978-1-4673-1369-8,,,,2012,,,,,,,396,401,,,,,,,,,,,,,,,,WOS:000392842100060,View Full Record in Web of Science
C,"Shome, R; Tang, WN; Song, C; Mitash, C; Kourtev, H; Yu, JJ; Boularias, A; Bekris, KE",,"Howard, A; Althoefer, K; Arai, F; Arrichiello, F; Caputo, B; Castellanos, J; Hauser, K; Isler, V; Kim, J; Liu, H; Oh, P; Santos, V; Scaramuzza, D; Ude, A; Voyles, R; Yamane, K; Okamura, A",IEEE,"Shome, Rahul; Tang, Wei N.; Song, Changkyu; Mitash, Chaitanya; Kourtev, Hristiyan; Yu, Jingjin; Boularias, Abdeslam; Bekris, Kostas E.",,,Towards Robust Product Packing with a Minimalistic End-Effector,2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 20-24, 2019","Montreal, CANADA","Bosch,DJI,Kinova,Mercedes Benz,Samsung,Argo AI,Clearpath Robot,Element AI,Fetch Robot,Huawei,iRobot,KUKA,Quanser,SICK,Toyota Res Inst,Uber,Waymo,Zhejiang Lab,Amazon,Applanix,Cloudminds,Honda Res Inst,MathWorks,Ouster",,,,,,,,,,"/0000-0003-4112-2250; Shome, Rahul/0000-0002-1689-9220",,,,,,,,,,,,,1050-4729,2577-087X,978-1-5386-6026-3,,,,2019,,,,,,,9007,9013,,10.1109/icra.2019.8793966,http://dx.doi.org/10.1109/icra.2019.8793966,,,,,,,,,,,,,WOS:000494942306091,View Full Record in Web of Science
C,"Monguzzi, A; Cella, C; Zanchettin, AM; Rocco, P",,,IEEE,"Monguzzi, Andrea; Cella, Christian; Zanchettin, Andrea Maria; Rocco, Paolo",,,Vision-based state and pose estimation for robotic bin picking of cables,"2023 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, IROS",IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 01-05, 2023","Detroit, MI","IEEE,RSJ",,,,,,,,,"Monguzzi, Andrea/JOK-9127-2023","Monguzzi, Andrea/0000-0003-1715-9010",,,,,,,,,,,,,2153-0858,,978-1-6654-9190-7,,,,2023,,,,,,,3114,3120,,10.1109/IROS55552.2023.10342374,http://dx.doi.org/10.1109/IROS55552.2023.10342374,,,,,,,,,,,,,WOS:001133658802044,View Full Record in Web of Science
C,"Kohler, C; Platt, R",,"Asfour, T; Billard, A; Khatib, O",,"Kohler, Colin; Platt, Robert",,,Visual Foresight with a Local Dynamics Model,"ROBOTICS RESEARCH, ISRR 2022",Springer Proceedings in Advanced Robotics,,,,18th International Symposium of Robotics Research (ISRR),"SEP 25-30, 2022","Ecole Polytechnique Frdrrale Lausanne, Geneva, SWITZERLAND",Int Fdn Robot Res,Ecole Polytechnique Frdrrale Lausanne,,,,,,,,"Platt, Robert/G-5847-2012",,,,,,,,,,,,,,2511-1256,2511-1264,978-3-031-25557-1; 978-3-031-25555-7; 978-3-031-25554-0,,,,2023,27,,,,,,67,82,,10.1007/978-3-031-25555-7_6,http://dx.doi.org/10.1007/978-3-031-25555-7_6,,,,,,,,,,,,,WOS:001008380600006,View Full Record in Web of Science
C,"Süberkrüb, F; Laezza, R; Karayiannidis, Y",,,IEEE,"Sueberkrueb, Finn; Laezza, Rita; Karayiannidis, Yiannis",,,Feel the Tension: Manipulation of Deformable Linear Objects in Environments with Fixtures using Force Information,2022 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 23-27, 2022","Kyoto, JAPAN","IEEE,Royal Soc Japan,IEEE Robot & Automat Soc,IES,SICE,New Technol Fdn",,,,,,,,,,"Laezza, Rita/0000-0003-3791-065X",,,,,,,,,,,,,2153-0858,,978-1-6654-7927-1,,,,2022,,,,,,,11216,11222,,10.1109/IROS47612.2022.9982065,http://dx.doi.org/10.1109/IROS47612.2022.9982065,,,,,,,,,,,,,WOS:000909405303027,View Full Record in Web of Science
C,"Fuentes, O; Nelson, RC",,,IEEE,"Fuentes, O; Nelson, RC",,,Learning dextrous manipulation skills using the evolution strategy,"1997 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION - PROCEEDINGS, VOLS 1-4",IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION,,,,1997 IEEE International Conference on Robotics and Automation (ICRA97) - Teaming to Make an Impact,"APR 20-25, 1997","ALBUQUERQUE, NM","IEEE, Robot & Automat Soc",,,,,,,,,,,,,,,,,,,,,,,1050-4729,,0-7803-3613-5,,,,1997,,,,,,,501,506,,,,,,,,,,,,,,,,WOS:A1997BJ42X00080,View Full Record in Web of Science
J,"Lynch, KM",,,,"Lynch, KM",,,Inexpensive conveyor-based parts feeding,ASSEMBLY AUTOMATION,,,,,,,,,,,,,,,,,"Lynch, Kevin/B-7600-2009",,,,,,,,,,,,,,0144-5154,,,,,,1999,19,3,,,,,209,215,,10.1108/01445159910280074,http://dx.doi.org/10.1108/01445159910280074,,,,,,,,,,,,,WOS:000082036400006,View Full Record in Web of Science
