Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Self Pruning Gaussian Synapse Networks for Behavior Based Robots,Artificial Neural Networks — ICANN 2002,,,,10.1007/3-540-46084-5_136,J. A. BecerraR. J. DuroJ. Santos,2002,https://link.springer.com/chapter/10.1007/3-540-46084-5_136,Conference paper
Evolutionary Learning of a Fuzzy Behavior Based Controller for a Nonholonomic Mobile Robot in a Class of Dynamic Environments,Journal of Intelligent and Robotic Systems,,,,10.1023/A:1013939308620,D. P. Thrishantha NanayakkaraKeigo WatanabeKazuo KiguchiKiyotaka Izumi,2001,https://link.springer.com/article/10.1023/A:1013939308620,Article
Extracting Situation Facts from Activation Value Histories in Behavior-Based Robots,KI 2001: Advances in Artificial Intelligence,,,,10.1007/3-540-45422-5_22,Frank SchönherrMihaela CistelecanJoachim HertzbergThomas Christaller,2001,https://link.springer.com/chapter/10.1007/3-540-45422-5_22,Conference paper
Behavior Based Robotics Using Hybrid Automata,Hybrid Systems: Computation and Control,,,,10.1007/3-540-46430-1_12,Magnus Egerstedt,2000,https://link.springer.com/chapter/10.1007/3-540-46430-1_12,Conference paper
A Behavior-Based Controller Architecture for Reactive Underwater Robots,"Prerational Intelligence: Adaptive Behavior and Intelligent Systems Without Symbols and Logic, Volume 1, Volume 2 Prerational Intelligence: Interdisciplinary Perspectives on the Behavior of Natural and Artificial Systems, Volume 3",,,,10.1007/978-94-010-0870-9_24,Joseph Ayers,2000,https://link.springer.com/chapter/10.1007/978-94-010-0870-9_24,Chapter
An Application of Behavior-Based Architecture for Mobile Robots Design,MICAI 2000: Advances in Artificial Intelligence,,,,10.1007/10720076_13,Sergio Uribe-GutierrezHoracio Martinez-Alfaro,2000,https://link.springer.com/chapter/10.1007/10720076_13,Conference paper
Fuzzy Behavior-Based Control for the Obstacle Avoidance of Multi-link Manipulators,"New Directions in Rough Sets, Data Mining, and Granular-Soft Computing",,,,10.1007/978-3-540-48061-7_31,Palitha DassanayakeKeigo WatanabeKiyotaka Izumi,1999,https://link.springer.com/chapter/10.1007/978-3-540-48061-7_31,Conference paper
Connectionist Learning in Behaviour-Based Mobile Robots: A Survey,Artificial Intelligence Review,,,,10.1023/A:1006567623867,Mark RylattChris CzarneckiTom Routen,1998,https://link.springer.com/article/10.1023/A:1006567623867,Article
Behaviour Adaption on Behavior-Based Controller for Brachiation Robot,Advances in Artificial Life,,,,10.1007/3-540-48304-7_38,Yasuhisa HasegawaYoshikuni ItoToshio Fukuda,1999,https://link.springer.com/chapter/10.1007/3-540-48304-7_38,Conference paper
Learning from History for Behavior-Based Mobile Robots in Non-Stationary Conditions,Autonomous Robots,,,,10.1023/A:1008814507256,François MichaudMaja J. Matarić,1998,https://link.springer.com/article/10.1023/A:1008814507256,Article
Learning from History for Behavior-Based Mobile Robots in Non-Stationary Conditions,Machine Learning,,,,10.1023/A:1007496725428,François MichaudMaja J. Matarić,1998,https://link.springer.com/article/10.1023/A:1007496725428,Article
A Fuzzy-Neural Realization of Behavior-Based Control Systems for a Mobile Robot,Soft Computing for Intelligent Robotic Systems,,,,10.1007/978-3-7908-1882-6_1,Keigo WatanabeKiyotaka Izumi,1998,https://link.springer.com/chapter/10.1007/978-3-7908-1882-6_1,Chapter
Behaviour-based Robots for Dangerous and Difficult Environments,Field and Service Robotics,,,,10.1007/978-1-4471-1273-0_4,Rodney A. Brooks,1998,https://link.springer.com/chapter/10.1007/978-1-4471-1273-0_4,Conference paper
Situated learning of a behavior-based mobile robot path planner,Journal of Computer Science and Technology,,,,10.1007/BF02943505,Yao ShuZhang Bo,1995,https://link.springer.com/article/10.1007/BF02943505,Article
Cooperating Multiple Behavior-Based Robots for Object Manipulation,Distributed Autonomous Robotic Systems,,,,10.1007/978-4-431-68275-2_33,Zhi-Dong WangEiji NakanoTakuji Matsukawa,1994,https://link.springer.com/chapter/10.1007/978-4-431-68275-2_33,Conference paper
